score	insns	calls	indirect	branches	dispatch	cop1	cop2	distinct_mem	kind	addr	demangled	file
-9.3	2	0	0	0	0	0	0	0	accessor	0x4012d8	OC3Ent::Face::FxCustomLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face14FxCustomLinkFn_0x4012d8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400510	OC3Ent::Face::FxLinearLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face14FxLinearLinkFn_0x400510.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400b30	OC3Ent::Face::FxNegateLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face14FxNegateLinkFn_0x400b30.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400cb8	OC3Ent::Face::FxInverseLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face15FxInverseLinkFn_0x400cb8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400fc8	OC3Ent::Face::FxConstantLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face16FxConstantLinkFn_0x400fc8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400e40	OC3Ent::Face::FxOneClampLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face16FxOneClampLinkFn_0x400e40.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400698	OC3Ent::Face::FxQuadraticLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face17FxQuadraticLinkFn_0x400698.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x401150	OC3Ent::Face::FxCorrectiveLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face18FxCorrectiveLinkFn_0x401150.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x401460	OC3Ent::Face::FxClampedLinearLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face21FxClampedLinearLinkFn_0x401460.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x400200	OC3Ent::Face::FxLinkFn::GetFnDesc()	GetFnDesc__CQ36OC3Ent4Face8FxLinkFn_0x400200.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3f02c0	JoypadController::GetFretButtons()	GetFretButtons__C16JoypadController_0x3f02c0.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x116308	PlayerConfig::GetGuitarProvider()	GetGuitarProvider__12PlayerConfig_0x116308.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e9158	Synth::GetMicFX()	GetMicFX__C5Synth_0x3e9158.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x29f448	OC3Ent::Face::FxNamedObject::GetName()	GetName__CQ36OC3Ent4Face13FxNamedObject_0x29f448.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x2972c8	OC3Ent::Face::FxClass::GetName()	GetName__CQ36OC3Ent4Face7FxClass_0x2972c8.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x29a468	OC3Ent::Face::FxFaceGraphNodeLink::GetNodeName()	GetNodeName__CQ36OC3Ent4Face19FxFaceGraphNodeLink_0x29a468.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3eb090	StreamNull::GetNumChannels()	GetNumChannels__C10StreamNull_0x3eb090.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3e9188	Synth::GetNumConnectedMics()	GetNumConnectedMics__C5Synth_0x3e9188.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3f2070	MassChannelMapping::GetNumSlots()	GetNumSlots__C18MassChannelMapping_0x3f2070.cpp
-9.3	2	0	0	0	0	0	0	0	accessor	0x3f1fc8	SingleSlotChannelMapping::GetNumSlots()	GetNumSlots__C24SingleSlotChannelMapping_0x3f1fc8.cpp
